lamp_num,model,gold_included,baseline_no_gold,baseline_with_gold,paper_value
1,BM25+flan-T5-base,True,0.6951,0.6858,
1,BM25+flan-T5-small,True,0.24,0.2222,0.308
1,Contriever+flan-T5-base,True,0.6413,0.6327,
1,Contriever+flan-T5-small,True,0.2,0.1852,0.286
2,BM25+flan-T5-base,False,0.1948,,
2,BM25+flan-T5-small,True,0.125,0.119,
2,Contriever+flan-T5-base,False,0.2251,,
2,Contriever+flan-T5-small,True,0.2125,0.2024,
3,BM25+flan-T5-base,False,0.8926,,
3,BM25+flan-T5-small,True,0.8983,0.8958,
3,Contriever+flan-T5-base,False,0.9015,,
3,Contriever+flan-T5-small,True,0.8617,0.8592,
4,BM25+flan-T5-base,False,0.3041,,
4,BM25+flan-T5-small,True,0.2035,0.2035,0.217
4,Contriever+flan-T5-base,False,0.3611,,
4,Contriever+flan-T5-small,True,0.3054,0.3049,0.254
5,BM25+flan-T5-base,False,0.5817,,
5,BM25+flan-T5-small,True,0.5435,0.5388,
5,Contriever+flan-T5-base,False,0.6001,,
5,Contriever+flan-T5-small,True,0.5106,0.5074,
6,BM25+flan-T5-base,False,0.4335,,
6,BM25+flan-T5-small,True,0.4282,0.4265,
6,Contriever+flan-T5-base,False,0.3997,,
6,Contriever+flan-T5-small,True,0.3594,0.3583,
7,BM25+flan-T5-base,False,0.6944,,
7,BM25+flan-T5-small,True,0.5272,0.5205,
7,Contriever+flan-T5-base,False,0.6377,,
7,Contriever+flan-T5-small,True,0.5253,0.5249,
